CCAA,Acumulados,Ultimas 24h,Incidencia
AndalucÃ­a,7374,402,72.34
AragÃ³n,2889,189,191.69
Asturias,1433,49,106.47
Baleares,1257,53,91.70
Canarias,1490,46,55.87
Cantabria,1321,53,202.55
Castilla La Mancha,8523,841,367.90
Castilla y LeÃ³n,7875,520,280.39
CataluÃ±a,23460,1656,263.05
Ceuta,62,7,67.24
C. Valenciana,6624,316,110.30
Extremadura,1893,56,149.48
Galicia,5219,377,171.92
Madrid,34188,2033,405.54
Melilla,70,8,53.19
Murcia,1145,61,62.99
Navarra,2836,154,348.82
PaÃ­s Vasco,7827,510,288.16
La Rioja,2224,141,545.14
